,V,I_SD VG0
0,-1.0,4.045399e-12
1,-0.98,5.91242e-12
2,-0.96,1.320532e-12
3,-0.94,2.481145e-12
4,-0.92,3.238026e-12
5,-0.9,4.297691e-12
6,-0.88,4.650915e-12
7,-0.86,4.802292e-12
8,-0.84,3.086654e-12
9,-0.8200000000000001,2.884809e-12
10,-0.8,6.11425e-12
11,-0.78,5.962886e-12
12,-0.76,3.944465e-12
13,-0.74,3.692159e-12
14,-0.72,4.600459e-12
15,-0.7,-9.235061e-14
16,-0.6799999999999999,5.559189e-12
17,-0.6599999999999999,3.288486e-12
18,-0.64,4.045382e-12
19,-0.62,4.650913e-12
20,-0.6,3.540793e-12
21,-0.5800000000000001,6.568392e-12
22,-0.56,3.288498e-12
23,-0.54,4.751827e-12
24,-0.52,5.559185e-12
25,-0.5,3.137103e-12
26,-0.48,7.527154e-12
27,-0.45999999999999996,1.136211e-11
28,-0.43999999999999995,-9.578862e-12
29,-0.42000000000000004,-4.078696e-12
30,-0.4,4.802284e-12
31,-0.38,5.962874e-12
32,-0.36,3.944473e-12
33,-0.33999999999999997,2.783882e-12
34,-0.31999999999999995,7.829907e-12
35,-0.29999999999999993,9.596017e-12
36,-0.28,4.600448e-12
37,-0.26,3.79308e-12
38,-0.24,1.094905e-13
39,-0.21999999999999997,3.617965e-13
40,-0.19999999999999996,9.394169e-12
41,-0.17999999999999994,5.407804e-12
42,-0.16000000000000003,8.637258e-12
43,-0.14,8.334505e-12
44,-0.12,7.829905e-12
45,-0.09999999999999998,7.930819e-12
46,-0.07999999999999996,-8.997204e-13
47,-0.05999999999999994,2.279274e-12
48,-0.040000000000000036,5.105057e-12
49,-0.020000000000000018,3.439865e-12
50,0.0,-8.492582e-13
51,0.020000000000000018,7.678511e-12
52,0.040000000000000036,1.267407e-11
53,0.06000000000000005,1.191719e-11
54,0.08000000000000007,1.282545e-11
55,0.10000000000000009,2.851861e-11
56,0.1200000000000001,4.305109e-11
57,0.14000000000000012,-2.204359e-11
58,0.15999999999999992,-1.321207e-11
59,0.17999999999999994,-5.542051e-12
60,0.19999999999999996,-2.564907e-12
61,0.21999999999999997,-3.446523e-13
62,0.24,-6.978749e-13
63,0.26,-4.431931e-12
64,0.28,-1.159727e-11
65,0.30000000000000004,-1.810726e-11
66,0.32000000000000006,-1.775399e-11
67,0.3400000000000001,-8.620122e-12
68,0.3600000000000001,-6.176017e-11
69,0.3800000000000001,-3.849543e-11
70,0.40000000000000013,-2.926019e-11
71,0.41999999999999993,1.650906e-11
72,0.43999999999999995,-1.080878e-10
73,0.45999999999999996,-2.203236e-10
74,0.48,-2.11896e-10
75,0.5,-1.545668e-10
76,0.52,6.67798e-10
77,0.54,1.004243e-10
78,0.56,-2.920971e-11
79,0.5800000000000001,1.089016e-10
80,0.6000000000000001,-1.846445e-10
81,0.6200000000000001,-1.547183e-10
82,0.6400000000000001,-2.073147e-11
83,0.6600000000000001,3.951885e-11
84,0.6799999999999999,2.094954e-11
85,0.7,1.292637e-11
86,0.72,-6.927956e-11
87,0.74,-1.129451e-11
88,0.76,2.120184e-11
89,0.78,-7.377096e-11
90,0.8,6.747378e-11
91,0.8200000000000001,-1.535573e-10
92,0.8400000000000001,-1.779323e-10
93,0.8600000000000001,2.200915e-11
94,0.8800000000000001,-1.719887e-11
95,0.9000000000000001,-9.617777e-11
96,0.9199999999999999,6.373976e-11
97,0.94,9.343705e-12
98,0.96,4.58264e-11
99,0.98,8.327522e-10
100,1.0,-3.872138e-10
